Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,22/01/2025 18:59,FALSE,Tangerang - INTERVAL MID W2,6.65,473,00:54:51,159,190,3.8,153,243,08:15,03:41,6,5,0.83,9.1,6.9,256,08:07,196,0,163,401,"8,344",No,00:50.7,20,00:53:41,00:58:21,9,12
Treadmill Running,20/01/2025 19:06,FALSE,Treadmill Running,8.01,319,00:33:06,162,184,3.7,153,240,04:08,02:18,--,--,1.64,7.1,11.4,230,--,360,0,332,518,"4,994",No,02:26.5,9,00:30:38,00:33:34,--,--
Running,19/01/2025 05:57,FALSE,Tangerang - LR W1,12.04,781,01:30:23,164,190,4.6,140,246,07:30,04:43,11,11,0.84,9.2,7.6,263,07:29,184,0,159,313,"13,978",No,02:47.6,13,01:28:13,02:02:55,25,30
Treadmill Running,15/01/2025 19:06,FALSE,iInterval W1,8.05,437,00:48:37,156,184,3.9,125,250,06:02,02:09,--,--,1.45,7.1,9.9,317,--,262,0,211,563,"6,168",No,00:06.6,17,00:41:54,00:48:37,--,--
Running,13/01/2025 19:16,FALSE,ER W1,6.01,401,00:44:21,162,178,3.7,160,250,07:23,03:48,3,4,0.84,9.3,7.6,263,07:18,197,0,184,372,"7,244",No,00:06.8,7,00:44:08,00:45:11,10,13
Running,12/01/2025 06:27,FALSE,Tangerang Running,8.16,497,01:10:33,147,174,3.1,149,250,08:39,05:21,15,17,0.78,9.9,7.4,278,08:37,172,0,156,274,"10,990",No,01:54.4,9,01:06:52,01:10:47,25,38
Running,04/01/2025 06:24,FALSE,Tangerang Running,6.18,351,01:23:35,101,175,2.6,107,238,13:32,04:28,10,11,0.79,8.7,5.8,250,13:25,130,0,81,334,"9,536",No,01:01.6,7,01:21:16,01:23:39,34,38
Running,29/12/2024 05:54,FALSE,Tangerang Running,15,963,01:57:32,160,185,4.7,167,250,07:50,04:44,10,11,0.78,9.4,7.2,264,07:47,191,0,173,312,"18,282",No,06:16.6,15,01:55:22,02:16:18,24,31
Running,25/12/2024 05:54,FALSE,Tangerang Running,12.26,825,01:34:44,164,185,4.4,156,247,07:43,04:17,14,9,0.81,9.5,7.6,265,07:37,187,0,172,337,"15,268",No,02:35.9,13,01:32:53,02:02:25,20,31
Running,21/12/2024 06:21,FALSE,Tangerang Running,10,611,01:37:45,144,179,3.6,127,250,09:47,05:33,10,11,0.81,9.4,6.9,266,09:42,164,0,124,276,"13,390",No,06:50.3,10,01:36:38,01:51:10,33,40
Treadmill Running,18/12/2024 19:03,FALSE,Treadmill Running,8.79,361,00:38:29,159,185,3.9,140,246,04:23,02:10,--,--,1.75,6.3,10.3,242,--,354,0,282,511,"5,586",No,03:00.6,9,00:31:34,00:38:29,--,--
Track Running,14/12/2024 07:07,FALSE,Jakarta Track Running,"6,910",431,01:13:12,137,180,3.3,122,240,10:36,05:28,23,9,0.77,8.7,6.4,258,--,163,0,113,269,"9,290",No,08:23.5,5,01:10:37,01:19:25,16,20
Running,07/12/2024 06:18,FALSE,Tangerang Running,5.45,362,00:38:02,159,177,3.3,165,239,06:59,03:47,5,6,0.87,9.3,8,262,06:53,207,0,199,378,"6,398",No,03:28.0,6,00:37:18,00:46:45,32,38
Treadmill Running,04/12/2024 18:54,FALSE,Tempo,5.35,240,00:25:53,153,188,3.2,135,240,04:50,02:05,--,--,1.62,7.7,11.8,303,--,329,0,278,561,"3,550",No,00:00.6,12,00:22:46,00:25:53,--,--
Treadmill Running,04/12/2024 12:18,FALSE,Treadmill Running,2.01,154,00:29:46,114,132,1,79,160,14:47,04:20,--,--,1.27,5.4,6.5,360,--,120,0,68,350,"3,210",No,00:05.1,3,00:15:06,00:29:46,--,--
