Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,11/03/2025 05:49,Tangerang - W20-D2,14.01,819,01:04:27,155,169,4.7,178,188,04:36,04:20,20,21,1.22,7.6,9.3,233,04:36,--,0,--,--,"11,402",26,No,00:02.8,15,29,--,--,--,01:04:23,01:04:27,30,38
Running,10/03/2025 06:08,Tangerang - W20-D1,9.9,594,00:50:02,147,168,3.7,178,188,05:03,04:06,9,6,1.11,8,8.8,241,05:03,--,0,--,--,"8,802",27,No,00:02.2,41,31,--,--,--,00:50:02,00:50:02,28,33
Running,07/03/2025 05:31,Tangerang - W19-D4,15.01,886,01:22:39,140,148,3.4,179,186,05:30,04:28,22,38,1.01,8.3,8.3,247,05:31,--,0,--,--,"14,754",27,No,00:02.8,16,30,--,--,--,01:22:36,01:22:39,26,49
Running,06/03/2025 05:46,Tangerang - W19-D3,15.01,893,01:08:46,161,170,5,177,184,04:35,04:19,16,16,1.23,7.6,9.4,234,04:35,--,0,--,--,"12,118",26,No,00:02.8,16,31,--,--,--,01:08:44,01:08:46,30,38
Running,04/03/2025 06:20,Tangerang - W19-D2,12.91,753,01:01:22,157,169,4.4,172,222,04:45,03:41,28,30,1.19,7.4,8.7,238,04:45,--,0,--,--,"10,674",27,No,00:01.4,16,30,--,--,--,01:01:17,01:01:22,17,26
Running,03/03/2025 06:02,Tangerang - W19-D1,10.01,598,00:56:06,137,148,3.1,182,189,05:36,05:19,7,9,0.98,8.3,8.1,246,05:37,--,0,--,--,"10,118",26,No,00:01.8,11,31,--,--,--,00:56:03,00:56:06,35,40
Running,01/03/2025 05:10,Tangerang - LR,30.01,"1,818",02:20:30,163,176,5,177,191,04:41,04:12,59,60,1.2,7.7,9.2,235,04:41,--,0,--,--,"24,840",27,No,00:02.0,31,32,--,--,--,02:20:24,02:20:42,31,42
Running,27/02/2025 06:13,Tangerang - W18-D3,6.69,401,00:34:08,149,181,3.3,161,184,05:06,03:31,5,8,1.19,7.8,8.9,233,05:07,--,0,--,--,"5,530",26,No,00:02.0,11,29,--,--,--,00:34:03,00:34:08,33,40
Running,25/02/2025 05:59,Tangerang - W18-D2,10.01,593,00:45:32,161,170,4.2,180,190,04:33,04:13,10,11,1.22,7.5,9.1,230,04:34,--,0,--,--,"8,156",26,No,00:02.1,11,29,--,--,--,00:45:29,00:45:32,30,37
Running,24/02/2025 06:03,Tangerang - W18-D1,10.01,606,00:56:19,139,147,3.1,179,186,05:38,05:21,8,10,0.98,8.4,8.2,248,05:39,--,0,--,--,"10,080",27,No,00:02.2,11,31,--,--,--,00:56:17,00:56:19,33,38
Running,22/02/2025 04:57,Tangerang - LR,28.01,"1,678",02:17:50,155,166,5,183,192,04:55,04:28,51,53,1.11,7.7,8.5,234,04:56,--,0,--,--,"25,026",28,No,00:02.3,29,31,--,--,--,02:17:45,02:17:52,29,42
Running,20/02/2025 06:07,Tangerang - W17-D3,6.73,403,00:34:10,148,177,3.3,154,225,05:05,03:26,6,12,1.22,7.7,9,235,05:06,--,0,--,--,"5,568",25,No,00:02.8,11,29,--,--,--,00:34:05,00:34:10,30,38
Running,18/02/2025 05:57,Tangerang - W17-D2,13.01,765,01:00:20,157,167,4.5,177,188,04:38,04:27,11,12,1.21,7.7,9.3,235,04:39,--,0,--,--,"10,614",26,No,00:02.5,14,30,--,--,--,01:00:16,01:00:20,33,40
Running,17/02/2025 05:49,Tangerang - W17-D1,11.01,658,01:02:28,138,145,3.1,178,188,05:40,05:12,12,12,0.99,8.5,8.4,251,05:41,--,0,--,--,"11,066",27,No,00:03.1,12,30,--,--,--,01:02:25,01:02:28,31,39
Running,15/02/2025 05:07,Tangerang - LR,21.01,"1,281",01:45:31,156,165,4.8,180,189,05:01,04:37,44,45,1.1,7.9,8.7,239,05:02,--,0,--,--,"18,858",27,No,00:02.5,22,30,--,--,--,01:45:27,01:45:31,31,42
Running,13/02/2025 05:51,Tangerang - W16-D3,12.33,730,01:05:20,148,178,3.7,158,231,05:18,03:32,21,23,1.14,7.8,8.6,237,05:18,--,0,--,--,"10,700",26,No,00:02.9,17,30,--,--,--,01:05:13,01:05:20,31,40
Running,11/02/2025 05:51,Tangerang - W16-D2,15.01,873,01:06:19,164,173,5,178,191,04:25,04:08,17,17,1.26,7.4,9.4,229,04:25,--,0,--,--,"11,780",27,No,00:02.0,16,31,--,--,--,01:06:17,01:06:19,31,39
Running,10/02/2025 05:43,Tangerang - W16-D1,13.01,764,01:11:13,139,148,3.3,181,190,05:28,04:44,13,15,1.01,8.2,8.2,245,05:29,--,0,--,--,"12,808",27,No,00:02.4,14,32,--,--,--,01:11:09,01:11:13,33,41
Running,08/02/2025 05:46,Tangerang - LR,22.01,"1,290",01:50:07,150,161,4.4,182,190,05:00,04:29,43,35,1.09,7.8,8.5,237,05:00,--,0,--,--,"19,886",26,No,00:02.9,23,30,--,--,--,01:50:02,01:53:12,29,42
Running,06/02/2025 05:58,Tangerang - W15-D3,10.83,660,00:55:46,153,181,3.9,166,188,05:09,03:28,19,21,1.13,7.8,8.6,237,05:09,--,0,--,--,"9,468",27,No,00:03.3,15,30,--,--,--,00:55:40,00:55:46,29,39
Running,04/02/2025 05:45,Tangerang - W15-D2,16.01,931,01:10:34,165,175,5,180,189,04:24,04:12,21,22,1.26,7.3,9.2,227,04:25,--,0,--,--,"12,600",27,No,00:03.1,17,30,--,--,--,01:10:30,01:10:34,32,43
Running,03/02/2025 05:40,Tangerang - W15-D1,14.01,853,01:16:24,145,154,3.6,183,192,05:27,04:57,27,31,1,8.1,8.1,243,05:28,--,0,--,--,"13,876",27,No,00:02.5,15,30,--,--,--,01:16:21,01:16:24,32,40
Running,01/02/2025 05:19,Tangerang - LR,23.01,"1,405",01:55:48,157,167,5,178,188,05:02,04:19,36,37,1.11,7.9,8.8,241,05:02,--,0,--,--,"20,544",--,No,00:02.9,24,--,--,--,--,01:55:42,01:55:48,31,41
Running,30/01/2025 06:04,Tangerang - W14-D3,10.88,657,00:55:41,151,181,4,169,231,05:07,03:29,11,14,1.12,7.8,8.6,249,05:08,--,0,--,--,"9,486",--,No,00:02.7,15,--,--,--,--,00:55:35,00:55:41,30,39
Running,29/01/2025 06:02,Tangerang - W14-D2,16.01,944,01:12:22,162,176,5,177,188,04:31,04:13,28,27,1.24,7.5,9.4,232,04:31,--,0,--,--,"12,782",--,No,00:02.9,17,--,--,--,--,01:12:18,01:12:22,33,44
Running,27/01/2025 05:37,Tangerang - W14-D1,15.01,880,01:23:26,138,146,3.4,182,188,05:34,04:58,15,14,0.98,8.2,8.1,245,05:34,--,0,--,--,"15,054",--,No,00:02.2,16,--,--,--,--,01:23:23,01:23:26,33,44
Running,26/01/2025 04:49,Tangerang - LR,24.01,"1,470",02:00:18,156,170,5,182,192,05:01,04:15,31,27,1.09,7.8,8.5,237,05:01,--,0,--,--,"21,740",--,No,00:02.8,25,--,--,--,--,02:00:12,02:01:08,33,43
Running,23/01/2025 05:49,Tangerang - W13-D3,10.91,646,00:56:12,146,182,3.6,171,190,05:09,03:36,9,13,1.1,7.8,8.4,248,05:11,--,0,--,--,"9,656",--,No,00:02.3,15,--,--,--,--,00:56:05,00:56:12,32,39
Running,21/01/2025 05:39,Tangerang - W13-D2,17.01,"1,014",01:18:11,162,171,5,180,188,04:36,04:22,12,14,1.21,7.5,9.1,232,04:36,--,0,--,--,"13,986",--,No,00:02.3,18,--,--,--,--,01:18:08,01:18:11,34,40
Running,20/01/2025 05:38,Tangerang - W13-D1,16.01,977,01:29:48,143,154,3.6,183,189,05:37,04:59,13,11,0.97,8.2,8,245,05:37,--,0,--,--,"16,286",--,No,00:02.6,17,--,--,--,--,01:29:44,01:29:48,34,38
Running,17/01/2025 05:07,Tangerang - LR,25.01,"1,470",02:07:18,148,158,4.5,181,190,05:05,04:48,21,20,1.08,7.9,8.5,239,05:06,--,0,--,--,"22,880",--,No,00:02.5,26,--,--,--,--,02:07:13,02:07:18,33,39
Running,16/01/2025 05:53,Tangerang - Jog,7.01,413,00:46:48,120,126,2.2,175,181,06:41,06:21,7,6,0.85,9.3,7.9,263,06:42,--,0,--,--,"8,204",--,No,00:01.9,8,--,--,--,--,00:46:42,00:46:48,34,40
Running,14/01/2025 05:23,Tangerang - H2,12.01,722,00:55:11,161,186,4.8,175,196,04:36,04:15,11,12,1.24,7.7,9.6,237,04:36,--,0,--,--,"9,614",--,No,00:01.2,13,--,--,--,--,00:55:10,00:55:31,32,43
Running,13/01/2025 05:31,Tangerang Running,17.01,986,01:33:07,136,156,3.4,177,184,05:29,05:09,12,10,1.03,8.3,8.6,249,05:29,--,0,--,--,"16,486",--,No,00:02.1,18,--,--,--,--,01:33:03,01:33:07,33,38
Running,11/01/2025 05:23,Tangerang - LR,26.01,"1,575",02:11:17,153,163,4.9,177,188,05:03,04:35,27,28,1.11,8,8.9,242,05:03,--,0,--,--,"23,182",--,No,00:02.2,27,--,--,--,--,02:11:13,02:11:39,33,44
Running,09/01/2025 05:52,Tangerang - H3,10.91,628,00:57:06,141,168,3.4,167,245,05:14,03:44,14,14,1.12,8.1,8.9,258,05:14,--,0,--,--,"9,570",--,No,00:02.6,15,--,--,--,--,00:57:00,00:57:06,30,39
Running,07/01/2025 05:37,Tangerang - H2,19.01,"1,124",01:27:34,160,180,5,176,188,04:36,04:21,23,23,1.23,7.7,9.4,235,04:37,--,0,--,--,"15,392",--,No,00:02.8,20,--,--,--,--,01:27:29,01:27:46,32,40
