Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,29/10/2023 05:03,FALSE,Tangerang - Quality Session,28.9,"1,668",02:41:33,174,210,5,173,195,05:35,04:05,32,28,1.03,8.7,8.9,247,05:36,227,0,225,331,--,--,--,"27,930",27,No,04:47.4,29,32,--,--,--,--,--,--,--,--,02:41:26,02:41:33,43,60
Running,01/06/2024 05:31,FALSE,Tangerang Running,28.01,"1,647",02:41:08,162,188,4.7,179,190,05:45,03:50,57,50,0.97,8.5,8.2,243,05:45,230,0,227,384,--,--,--,"28,726",29,No,00:01.5,29,33,--,--,--,--,--,--,--,--,02:40:44,02:41:08,28,47
Running,13/07/2024 05:43,FALSE,Tangerang - Quality Session,28,"1,587",02:25:41,165,184,5,180,194,05:12,04:19,35,29,1.06,8.1,8.6,235,05:11,252,0,248,317,--,--,--,"26,188",25,No,00:02.8,29,30,--,--,--,--,--,--,--,--,02:25:14,02:25:41,23,36
Running,11/05/2024 05:24,FALSE,Tangerang - Quality Session,28,"1,666",02:28:31,175,189,5,175,186,05:18,04:22,33,37,1.07,8.4,9,242,05:18,254,0,251,313,--,--,--,"26,002",29,No,00:01.2,29,31,--,--,--,--,--,--,--,--,02:28:18,02:28:31,28,37
Running,21/01/2024 05:28,FALSE,Tangerang Running,27.01,"1,561",02:34:59,170,193,5,170,192,05:44,04:13,20,19,1.02,8.9,9.1,251,05:44,227,0,223,315,--,--,--,"26,336",30,No,00:02.2,28,32,--,--,--,--,--,--,--,--,02:33:12,02:35:08,26,35
Running,11/01/2025 05:21,FALSE,Tangerang Running,25.78,"1,420",02:15:01,166,187,5,178,190,05:14,04:19,34,30,1.07,8.2,8.7,235,05:14,237,0,233,308,--,--,--,"23,956",27,No,04:16.5,26,30,--,--,--,--,--,--,--,--,02:13:32,02:15:01,23,36
Running,25/12/2024 05:36,FALSE,Tangerang Running,25.12,"1,414",02:17:12,160,186,4.5,176,193,05:28,04:10,53,39,1.03,8.4,8.7,241,05:26,235,0,230,314,--,--,--,"24,216",29,No,00:46.1,26,33,--,--,--,--,--,--,--,--,02:16:46,02:35:48,25,39
Running,04/05/2024 05:45,FALSE,Tangerang Running,25.01,"1,483",02:22:20,167,181,4.7,174,182,05:42,04:51,27,17,1.01,8.8,8.8,249,05:41,234,0,233,285,--,--,--,"24,690",29,No,00:02.0,26,32,--,--,--,--,--,--,--,--,02:22:03,02:23:15,28,40
Running,09/02/2024 05:01,FALSE,Tangerang Running,25.01,"1,403",02:18:54,162,179,5,176,245,05:33,04:23,15,16,1.02,8.5,8.7,244,05:33,228,0,226,295,--,--,--,"24,412",29,No,00:02.6,26,31,--,--,--,--,--,--,--,--,02:18:23,02:21:10,24,32
Running,26/12/2023 05:55,FALSE,Jakarta Running,23.45,"1,182",02:00:05,163,186,4.8,170,196,05:07,02:57,24,35,1.15,8.5,9.7,244,05:07,253,0,250,426,--,--,--,"20,480",29,No,02:20.8,24,32,--,--,--,--,--,--,--,--,01:59:29,02:11:01,9,31
