Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,17/10/2023 07:03,FALSE,Tangerang Running,10.02,472,01:13:48,136,156,3.2,171,182,07:22,05:37,24,30,0.79,0,"12,690",29,No,00:07.7,11,31,01:13:29,01:21:19,-138,-120
Running,15/10/2023 06:55,FALSE,Tangerang Running,15.12,673,01:46:18,135,148,3.1,173,190,07:02,06:19,27,37,0.82,0,"18,562",28,No,00:45.3,16,32,01:45:43,01:57:33,-117,-100
Running,13/10/2023 07:31,FALSE,Tangerang Running,5.01,243,00:35:20,138,157,3.5,176,182,07:04,05:57,8,22,0.8,0,"6,224",29,No,00:01.9,6,30,00:35:18,00:36:09,-118,-99
Running,12/10/2023 07:10,FALSE,Tangerang Running,7.83,370,01:11:34,126,140,2.1,167,179,09:09,07:42,16,30,0.65,0,"12,038",29,No,06:54.1,8,32,01:10:56,01:14:39,-102,-80
Running,10/10/2023 07:13,FALSE,Tangerang Running,3.76,189,00:36:25,123,150,2,160,175,09:40,08:14,6,19,0.64,0,"5,932",29,No,07:10.7,4,31,00:35:38,00:36:36,-23,-9
Running,07/10/2023 05:25,FALSE,Tangerang Running,21.13,945,02:28:33,139,153,3.7,175,188,07:02,06:11,11,40,0.81,0,"26,178",24,No,00:48.7,22,29,02:28:03,02:41:12,9,43
Running,05/10/2023 08:10,FALSE,Tangerang Running,10.01,473,01:30:38,128,146,2.3,169,179,09:03,06:16,26,34,0.65,0,"15,308",30,No,00:03.8,11,34,01:30:24,01:32:12,37,51
Running,03/10/2023 07:15,FALSE,Tangerang Running,5.33,246,00:48:07,120,138,2.1,172,180,09:02,05:30,13,18,0.64,0,"8,280",28,No,02:40.3,6,30,00:47:56,00:48:07,-26,-17
Running,01/10/2023 07:18,FALSE,Tangerang Running,6.01,278,00:52:51,118,126,2.2,172,183,08:48,07:07,10,29,0.66,0,"9,100",28,No,00:04.4,7,31,00:52:44,00:52:51,-6,14
Running,30/09/2023 07:07,FALSE,Tangerang Running,9.52,458,01:18:36,129,154,2.4,177,183,08:15,05:40,22,35,0.68,0,"13,922",28,No,03:42.0,10,30,01:18:21,01:20:15,7,26
Running,28/09/2023 05:53,FALSE,Tangerang Running,19.01,873,02:13:49,139,157,3.3,175,186,07:02,06:16,13,29,0.81,0,"23,556",25,No,00:03.2,20,29,02:12:55,02:31:25,19,47
Running,27/09/2023 06:34,FALSE,Tangerang Running,5.01,243,00:34:50,135,151,3.2,177,184,06:58,05:55,5,24,0.81,0,"6,174",25,No,00:02.4,6,29,00:34:48,00:35:04,38,59
Running,26/09/2023 08:01,FALSE,Tangerang Running,5.04,248,00:38:47,133,151,3,174,182,07:41,05:57,23,28,0.75,0,"6,770",30,No,00:14.1,6,32,00:38:30,00:39:10,7,45
Running,23/09/2023 07:02,FALSE,Tangerang Running,5.06,248,00:38:43,133,151,2.9,176,182,07:39,05:32,7,22,0.74,0,"6,824",27,No,00:17.5,6,29,00:38:30,00:38:43,29,49
