Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,29/11/2023 07:30,Tangerang Running,2.52,180,00:17:41,128,139,2.4,164,172,07:01,06:13,5,8,0.87,0,"2,894",29,No,03:29.1,3,30,00:17:36,00:17:41,38,43
Running,26/11/2023 17:08,Tangerang Running,5.1,339,00:45:54,102,120,1.8,142,164,09:00,07:09,22,31,0.78,0,"6,586",30,No,00:44.9,6,32,00:42:12,00:46:08,31,44
Running,25/11/2023 07:34,Tangerang Running,7.51,495,01:03:58,103,123,2,151,170,08:31,06:34,24,25,0.78,0,"9,682",29,No,03:55.7,8,31,01:00:42,01:08:51,58,67
Running,24/11/2023 07:30,Tangerang Running,5.11,315,00:53:04,96,113,0.9,141,175,10:23,07:32,12,17,0.69,0,"7,572",31,No,01:05.6,6,34,00:52:39,00:53:04,33,41
Running,22/11/2023 07:47,Tangerang Running,5.01,333,00:38:35,114,139,2.3,162,179,07:42,06:17,19,25,0.8,0,"6,288",30,No,00:02.4,6,33,00:38:32,00:38:35,31,46
Running,21/11/2023 06:49,Tangerang Running,5.01,322,00:46:22,105,131,2,145,166,09:16,06:46,15,16,0.74,0,"6,758",29,No,00:02.3,6,32,00:46:22,00:46:22,36,45
Running,19/11/2023 07:02,Tangerang Running,5.15,356,00:35:36,125,151,3,163,187,06:55,05:17,39,39,0.89,0,"5,840",29,No,01:41.9,6,31,00:34:55,00:35:56,40,49
Running,17/11/2023 17:34,Tangerang Running,5.01,316,00:44:47,105,124,1.4,153,164,08:56,07:48,18,25,0.73,0,"6,872",31,No,00:03.8,6,32,00:44:28,00:44:47,30,43
Running,13/11/2023 17:35,Tangerang Running,5.05,317,00:48:53,107,122,1.4,150,166,09:41,07:32,30,31,0.69,0,"7,356",31,No,00:20.1,6,32,00:48:34,00:50:12,36,47
Running,11/11/2023 18:04,Tangerang Running,2.75,160,00:36:55,77,110,0.3,127,148,13:25,11:32,3,14,0.59,0,"4,686",29,No,09:38.0,3,30,00:36:55,00:36:55,-24,-12
Running,09/11/2023 17:25,Tangerang Running,2,127,00:29:08,77,97,0.3,107,172,14:33,08:59,11,20,0.65,0,"3,254",31,No,00:02.0,3,32,00:26:28,00:29:08,36,47
Running,05/11/2023 09:06,Üsküdar Running,42.49,"2,732",05:24:56,128,163,4,161,189,07:39,05:05,459,475,0.81,0,"52,604",21,No,04:19.7,43,31,05:20:28,05:24:56,-32,73
Running,04/11/2023 11:40,Istanbul Running,1.04,55,07:26.0,105,122,0.5,153,177,07:08,06:41,19,13,0.91,0,"1,142",27,No,00:20.2,2,29,00:07:26,00:07:26,7,27
Running,04/11/2023 10:30,Fatih Running,5.01,344,00:37:19,119,140,2.4,159,181,07:27,05:48,33,29,0.85,0,"5,960",26,No,00:08.1,6,31,00:36:21,00:38:18,-13,3
Running,02/11/2023 07:54,Tangerang Running,3.01,195,00:23:55,111,133,1.7,148,168,07:57,06:16,23,19,0.85,0,"3,602",31,No,00:01.9,4,33,00:23:30,00:23:55,40,47
Running,31/10/2023 07:42,Tangerang Running,5.01,349,00:31:28,130,155,3.1,165,177,06:17,04:41,26,21,0.96,0,"5,198",31,No,00:02.2,6,33,00:31:27,00:31:28,40,49
Running,29/10/2023 05:30,Tangerang Running,20.83,"1,318",02:08:11,136,163,3.3,171,185,06:09,05:26,128,129,0.95,0,"21,906",27,No,04:40.0,21,32,02:06:53,02:08:11,-4,12
Running,28/10/2023 06:31,Tangerang Running,9.01,552,01:01:40,117,144,2.2,166,181,06:50,04:59,58,65,0.88,0,"10,234",28,No,00:04.1,10,31,01:01:30,01:01:40,35,44
Running,26/10/2023 17:31,Tangerang Running,10.01,642,01:04:55,128,154,2.8,166,189,06:29,04:12,54,55,0.93,0,"10,800",29,No,00:01.9,11,31,01:04:51,01:08:51,22,49
Running,24/10/2023 17:20,Tangerang Running,5.01,322,00:32:06,122,142,2.7,162,172,06:25,05:23,15,25,0.96,0,"5,176",31,No,00:01.8,6,32,00:32:03,00:32:06,31,44
Running,22/10/2023 05:37,Tangerang Running,20.01,"1,244",02:19:31,122,153,3.1,163,211,06:58,04:47,134,106,0.88,0,"22,786",28,No,00:03.0,21,33,02:17:48,02:39:05,34,57
Running,20/10/2023 06:47,Tangerang Running,10.14,668,01:11:22,128,157,3.2,159,204,07:02,04:33,119,102,0.89,0,"11,474",30,No,01:10.8,11,34,01:10:54,01:14:14,32,50
Running,18/10/2023 17:26,Tangerang Running,5.08,344,00:29:07,138,159,3.4,169,187,05:44,04:09,58,58,1.03,0,"4,922",31,No,00:19.5,6,32,00:28:59,00:29:07,40,53
Running,16/10/2023 18:06,Tangerang Running,5.01,343,00:32:25,128,157,3.1,161,179,06:28,04:13,14,18,0.96,0,"5,212",31,No,00:02.7,6,32,00:32:16,00:32:25,33,43
Running,15/10/2023 05:21,Tangerang Running,22.01,"1,367",02:35:04,121,143,3.1,161,189,07:03,05:27,234,183,0.88,0,"25,224",28,No,00:02.6,23,33,02:32:30,03:10:56,22,50
Running,13/10/2023 17:37,Tangerang Running,11.02,708,01:13:57,123,151,2.8,161,174,06:43,04:38,72,62,0.92,0,"11,906",30,No,00:05.2,12,32,01:13:38,01:19:18,35,51
Running,11/10/2023 07:26,Tangerang Running,8.01,541,00:52:16,128,156,3.1,164,181,06:31,04:28,66,51,0.93,0,"8,622",30,No,00:03.2,9,33,00:52:11,00:54:39,40,55
Running,09/10/2023 17:46,Tangerang Running,10.06,659,01:26:51,110,145,2.3,133,240,08:38,04:12,57,66,0.87,0,"12,094",30,No,00:16.6,11,32,01:18:23,01:28:43,23,44
Running,09/10/2023 07:13,Tangerang Running,5.01,321,00:36:36,115,139,2.2,154,168,07:18,05:28,32,30,0.89,0,"5,680",30,No,00:03.9,6,32,00:35:54,00:36:36,40,50
Running,07/10/2023 05:25,Tangerang Running,10.03,641,01:07:01,125,137,2.6,166,183,06:41,05:38,36,43,0.9,0,"11,098",26,No,00:10.5,11,29,01:06:31,01:07:01,49,58
Running,06/10/2023 07:44,Tangerang Running,5.04,352,00:31:09,135,152,3.1,165,179,06:11,05:09,45,27,0.98,0,"5,174",30,No,00:11.3,6,32,00:31:04,00:34:47,34,49
Running,05/10/2023 06:42,Tangerang Running,5.91,645,00:56:38,144,170,3.7,146,214,09:34,06:17,18,21,0.71,0,"8,364",28,No,07:48.6,6,30,00:56:13,00:56:38,51,60
Running,02/10/2023 08:53,Milan Running,0.77,71,00:20:17,71,107,0.2,38,162,26:12:00,06:10,13,6,1.01,0,996,25,No,00:20:17,1,26,00:10:59,00:20:17,114,125
Running,01/10/2023 10:33,Milan Running,0.29,16,03:52.1,74,88,0,69,115,13:15,10:27,2,4,1.09,0,336,28,No,03:52.1,1,28,00:03:52,00:03:52,147,152
Running,29/09/2023 09:16,Barcelona Running,6.02,404,01:04:47,100,144,2,97,174,10:46,04:47,60,71,0.96,0,"6,722",27,No,00:05.8,7,29,00:47:05,01:04:47,13,28
Running,27/09/2023 08:01,Munich Running,3.49,305,01:02:01,90,127,0.8,70,178,17:45,03:41,56,61,0.84,0,"4,706",19,No,05:03.6,4,28,00:30:22,01:25:42,448,491
Running,24/09/2023 10:33,Berlin Running,42.84,"2,674",05:38:04,120,141,3.7,157,207,07:53,05:19,412,420,0.81,0,"53,232",21,No,05:52.3,43,30,05:29:34,05:38:04,-19,11
Running,23/09/2023 09:39,Berlin Running,2.01,108,00:18:51,92,117,0.6,114,183,09:24,03:40,24,31,0.93,0,"2,252",20,No,00:02.0,3,23,00:14:17,00:18:51,24,59
Running,21/09/2023 07:23,Tangerang Running,6.05,376,00:46:45,103,132,1.9,158,168,07:44,05:21,51,47,0.82,0,"7,442",30,No,00:18.4,7,32,00:46:38,00:57:50,30,46
Running,19/09/2023 17:43,Tangerang Running,4.01,258,00:33:14,100,141,1.3,157,164,08:18,06:41,12,17,0.77,0,"5,234",30,No,00:02.9,5,32,00:33:12,00:33:14,35,46
Running,17/09/2023 06:06,Tangerang Running,18.01,"1,183",01:54:31,135,151,3.4,167,197,06:22,04:47,112,88,0.94,0,"19,188",26,No,00:02.8,19,31,01:54:14,02:01:09,31,52
Running,16/09/2023 06:07,Tangerang Running,4.62,288,00:28:36,124,141,2.3,172,187,06:11,04:16,20,23,0.94,0,"4,884",27,No,03:01.3,5,28,00:28:34,00:32:43,42,54
