Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,15/11/2024 06:10,FALSE,Tangerang - Easy Run,10.74,503,01:12:21,160,179,3.2,173,196,06:44,05:34,11,11,0.86,0,"12,686",29,No,04:55.7,11,32,01:11:26,01:22:42,-74,-68
Running,12/11/2024 04:57,FALSE,Tangerang - Easy Run,8.13,388,00:56:20,155,172,3.2,174,208,06:56,03:29,8,7,0.84,0,"9,824",28,No,00:00:20,10,29,00:55:44,00:57:51,-29,-23
Running,10/11/2024 05:07,FALSE,Tangerang - Quality Session,20.3,718,01:54:11,161,186,3.7,183,214,05:37,04:39,24,34,0.97,0,"20,800",28,No,00:08.9,22,29,01:54:05,01:54:21,2,17
Running,09/11/2024 05:40,FALSE,Tangerang - Easy Run,11,543,01:10:53,168,184,4.2,179,192,06:27,05:48,15,14,0.87,0,"12,652",29,No,00:08.8,12,33,01:10:20,01:14:20,25,33
Running,08/11/2024 05:19,FALSE,Tangerang - Easy Run,7.25,338,00:53:29,150,173,2.9,159,206,07:22,04:09,4,9,0.86,0,"8,958",29,No,00:02.8,20,31,00:52:12,00:54:57,31,39
Running,06/11/2024 05:17,FALSE,Tangerang - Easy Run,8,376,00:55:09,156,169,3,176,190,06:54,06:01,6,12,0.82,0,"9,690",29,No,00:03.6,9,29,00:55:00,00:55:49,40,48
Running,02/11/2024 05:27,FALSE,Tangerang - Easy Run,15.17,691,01:39:05,161,179,3.4,178,190,06:32,05:40,12,19,0.86,0,"17,622",29,No,01:02.1,16,32,01:37:57,01:39:27,37,47
Running,01/11/2024 06:18,FALSE,Tangerang - Easy Run,10.85,511,01:15:29,157,180,3.3,170,210,06:57,03:59,9,10,0.87,0,"13,140",29,No,00:01.5,23,32,01:14:39,01:18:44,47,53
Running,30/10/2024 05:05,FALSE,Tangerang - Quality Session,12.78,450,01:18:44,149,176,2.6,161,219,06:10,03:58,16,14,1.02,0,"13,380",29,No,00:01:00,30,31,01:15:41,01:26:44,17,25
Running,29/10/2024 04:49,FALSE,Tangerang - Easy Run,10.53,473,01:16:27,148,171,2.9,167,188,07:16,05:31,7,14,0.82,0,"13,058",29,No,03:19.6,11,31,01:15:52,01:19:16,31,41
