Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,23/07/2024 06:23,FALSE,Tangerang Running,10.02,738,01:08:20,145,163,--,163,170,06:49,06:12,16,7,0.9,--,--,--,--,--,0,--,--,"11,078",--,No,00:08.0,11,--,01:08:18,01:08:20,27,42
Running,21/07/2024 05:18,FALSE,Tangerang Running,16.12,"1,219",01:34:29,161,187,--,170,185,05:52,04:38,35,33,1,--,--,--,--,--,0,--,--,"15,998",--,No,00:37.5,17,--,01:34:25,01:38:40,26,35
Running,16/07/2024 18:55,FALSE,Tangerang Running,9.03,660,01:02:45,143,161,--,162,246,06:57,05:44,71,73,0.89,--,--,--,--,--,0,--,--,"10,136",--,No,00:12.2,10,--,01:02:43,01:02:45,27,43
Running,14/07/2024 06:56,FALSE,Jakarta Running,5.03,392,00:45:51,130,157,--,162,174,09:07,06:59,143,132,0.68,--,--,--,--,--,0,--,--,"7,378",--,No,00:16.0,6,--,00:45:43,01:16:27,3,37
Running,13/07/2024 06:11,FALSE,Tangerang Running,8.08,616,00:46:41,159,180,--,169,179,05:47,05:05,43,39,1.03,--,--,--,--,--,0,--,--,"7,800",--,No,00:26.2,9,--,00:46:39,00:46:41,29,43
Running,11/07/2024 19:19,FALSE,Tangerang Running,3.02,234,00:22:32,140,151,--,163,170,07:27,06:01,29,26,0.82,--,--,--,--,--,0,--,--,"3,650",--,No,00:08.8,4,--,00:22:30,00:23:43,16,32
Running,10/07/2024 19:52,FALSE,Tangerang Running,10.03,751,01:01:10,154,176,--,168,183,06:06,04:59,67,74,0.97,--,--,--,--,--,0,--,--,"10,218",--,No,00:13.0,14,--,01:01:02,01:03:46,27,41
Running,09/07/2024 19:04,FALSE,Tangerang Running,15.07,"1,132",01:39:52,150,173,--,166,173,06:38,05:55,123,125,0.91,--,--,--,--,--,0,--,--,"16,462",--,No,00:25.7,16,--,01:39:47,01:44:43,27,41
Running,06/07/2024 06:24,FALSE,Tangerang Running,7.23,531,00:47:29,146,166,--,163,179,06:34,04:16,29,28,0.93,--,--,--,--,--,0,--,--,"7,700",--,No,01:29.7,8,--,00:47:27,00:47:29,29,44
Running,04/07/2024 05:53,FALSE,Tangerang Running,7.17,541,00:42:53,155,180,--,165,181,05:59,04:44,17,10,1.01,--,--,--,--,--,0,--,--,"7,064",--,No,00:54.7,8,--,00:42:50,00:48:46,27,41
