Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5561721029,"Apr 19, 2021, 9:49:25 AM",Afternoon Run,Run,,2029,4.97,,,FALSE,,,activities/5918748186.gpx.gz,,,2029,1783,4974.100098,7.199999809,2.789736509,9.800000191,31.39999962,-56.59999847,-32.20000076,6.800000191,-0.434249401,,,95,80.62097931,,,,,,,,,,,,,,,,,,,,,0,,1,4954.100098,1618822784,2,30.35000038,35.75,24.12000084,0.689999998,1008.5,3.049999952,4.480000019,276,0.0484,1618785536,1618829184,0.230000004,,,0.029999999,5,0.579999983,16093,2,263.6000061,,,,,,,,,,,,,,,,,,
5561721052,"Apr 17, 2021, 9:43:13 AM",Afternoon Run,Run,,4029,9.85,,,FALSE,,,activities/5918748167.gpx.gz,,,4029,3829,9851,7.400000095,2.572734356,46.59999847,40,-4.199999809,16.60000038,47.09999847,0.066998273,,,89,77.72492981,,,,,,,,,,,,,,,,,,,,,0,,1,10037.09961,1618649984,3,29.11000061,35.13999939,25.38999939,0.800000012,1009.5,2.539999962,4.059999943,304,0.906000018,1618612736,1618656512,0.170000002,,,0.239999995,5,0.99000001,16093,1,264.1000061,,,,,,,,,,,,,,,,,,
5561721057,"May 26, 2021, 9:39:56 AM",Afternoon Run,Run,,4038,10.4,,,FALSE,,,activities/5918748168.gpx.gz,,,4038,3857,10403.59961,7.5,2.697329521,19.20000076,34.20000076,-22.60000038,-5.800000191,6.400000095,-0.144180864,,,102,80.41178131,,,,,,,,,,,,,,,,,,,,,0,,1,10402.2998,1622019584,2,30.29999924,39.54000092,27.09000015,0.829999983,1006.700012,2.210000038,5.940000057,326,0.630400002,1621982208,1622025984,0.5,,,0.170000002,5,0.829999983,16093,1,259.3999939,,,,,,,,,,,,,,,,,,
5561721058,"Apr 6, 2021, 10:07:07 AM",Afternoon Run,Run,,3684,4.67,,,FALSE,,,activities/5918748207.gpx.gz,,,3684,2176,4672.299805,6.199999809,2.14719677,35,38.20000076,-52.20000076,-29,48.09999847,-0.068488754,,,95,69.10594177,,,,,,,,,,,,,,,,,,,,,0,,1,4767,1617703168,2,28.65999985,34.77999878,25.84000015,0.850000024,1007.200012,1.919999957,4.489999771,349,0.163100004,1617662464,1617706240,0.819999993,,,0.059999999,5,0.870000005,16093,0,261.7000122,,,,,,,,,,,,,,,,,,
5561721059,"Jun 13, 2021, 9:22:16 AM",Afternoon Run,Run,,4376,10.98,,,FALSE,,,activities/5918748196.gpx.gz,,,4376,4128,10982.5,6.800000191,2.660489321,24.39999962,40,-5.800000191,14.19999981,19.5,-0.142044157,,,118,77.9573288,,,,,,,,,,,,,,,,,,,,,0,,1,10983.09961,1623574784,3,29.87000084,36.83000183,25.70000076,0.779999971,1008,2.230000019,3.700000048,310,0.3301,1623537536,1623581440,0.100000001,,,0.150000006,5,0.889999986,16093,1,258.7000122,,,,,,,,,,,,,,,,,,
5561721074,"May 3, 2021, 9:50:27 AM",Afternoon Run,Run,,2229,6.08,,,FALSE,,,activities/5918748112.gpx.gz,,,2229,2137,6083.600098,5.900000095,2.846794605,80.59999847,85.59999847,-30.39999962,-5.800000191,36,-0.082188182,,,88,80.74624634,,,,,,,,,,,,,,,,,,,,,0,,1,6363.700195,1620032384,3,29.87999916,36.91999817,25.76000023,0.790000021,1005.5,1.870000005,4.079999924,325,0.3653,1619995008,1620038784,0.74000001,,,0.150000006,5,0.99000001,16093,1,262.7000122,,,,,,,,,,,,,,,,,,
5561721078,"Jun 17, 2021, 9:45:28 AM",Afternoon Run,Run,,4457,9.01,,,FALSE,,,activities/5918748193.gpx.gz,,,4457,3343,9016.099609,6.099999905,2.69700861,17.79999924,17.60000038,-53.59999847,-41.79999924,4.300000191,0.002218254,,,95,77.48742676,,,,,,,,,,,,,,,,,,,,,0,,1,9034.799805,1623920384,3,28.11000061,32.90999985,25,0.829999983,1009.799988,1.519999981,2.799999952,164,0.183500007,1623883136,1623927040,0.230000004,,,0.150000006,5,0.980000019,16093,1,263,,,,,,,,,,,,,,,,,,
5561721079,"May 5, 2021, 10:24:10 AM",Afternoon Run,Run,,2550,4.28,,,FALSE,,,activities/5918748239.gpx.gz,,,2550,1804,4281.799805,12.19999981,2.373503208,151.6000061,97,-59.79999924,27.79999924,41.5,1.275164604,,,94,74.65142822,,,,,,,,,,,,,,,,,,,,,0,,1,4690.399902,1620208768,5,26.90999985,32.40000153,26.70999908,0.99000001,1006.599976,1.149999976,1.610000014,247,0.346700013,1620167808,1620211584,0.810000002,,,0.379999995,5,1,16093,0,259.2999878,,,,,,,,,,,,,,,,,,
5561721089,"Apr 18, 2021, 10:09:47 AM",Afternoon Swim,Swim,,1387,175,,,FALSE,,,activities/5918748237.fit.gz,,,1387,384,175,1,0.455729157,0,,,,0,0,,,29,18.80480576,,,,,21,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561721094,"Jun 22, 2021, 9:51:46 AM",Afternoon Swim,Swim,,1845,"1,075",,,FALSE,,,activities/5918748176.fit.gz,,,1845,1839,1075,1.600000024,0.584556818,0,,,,0,0,,,34,17.96360588,,,,,183,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
