Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,20/11/2024 05:51,Tangerang - 400m/800m interval,10.03,710,01:02:48,143,174,4.1,156,240,06:16,03:25,17,10,0.98,8.2,7.7,240,06:16,276,0,228,433,"10,208",No,01:32.3,22,01:02:16,01:04:15,27,33
Running,19/11/2024 06:08,Tangerang - Easy Run 10Km,10.01,641,01:00:57,130,142,3.3,180,190,06:05,05:20,10,4,0.91,8.6,7.8,250,06:06,247,0,246,282,"10,952",No,00:04.5,11,01:00:51,01:02:32,36,40
Running,17/11/2024 06:12,Tangerang Running,5.55,344,00:47:07,106,138,2,143,245,08:30,05:52,63,53,0.79,9.4,7.3,281,08:23,193,0,171,288,"7,112",No,04:13.7,6,00:46:39,00:50:45,26,48
Running,16/11/2024 05:30,Tangerang - Long Run,12.61,838,01:18:05,131,153,3.5,175,192,06:11,03:57,17,7,0.92,8.8,8.1,255,06:11,245,0,244,395,"13,692",No,03:44.9,13,01:17:57,01:21:06,31,35
Running,13/11/2024 05:44,Tangerang Running,9.62,622,00:51:51,144,169,4.1,183,235,05:23,04:33,7,8,1.01,7.9,7.9,236,05:21,284,0,277,340,"9,478",No,03:41.5,10,00:51:49,00:53:15,28,32
Running,12/11/2024 05:56,Tangerang Running,11.4,747,01:19:41,125,139,2.9,172,237,06:59,04:42,18,9,0.83,9.5,7.9,267,07:00,219,0,218,344,"13,738",No,02:44.7,12,01:19:26,01:19:41,34,41
Running,10/11/2024 05:01,Tangerang Running,21.36,"1,441",02:00:05,148,167,5,181,192,05:37,04:53,28,30,0.98,8.2,8,242,05:37,269,0,266,347,"21,694",No,01:55.2,22,01:59:52,02:00:05,32,42
Running,09/11/2024 05:40,Tangerang Running,11.01,769,01:09:33,138,154,3.6,177,242,06:19,05:14,9,85,0.89,8.8,7.8,254,06:19,239,0,238,328,"12,328",No,00:07.8,12,01:09:22,01:21:47,32,39
Running,06/11/2024 06:59,Tangerang Running,6.11,402,00:35:27,136,151,3.2,180,188,05:48,05:04,3,4,0.94,8.5,8,247,05:52,257,0,255,306,"6,358",No,00:11.4,7,00:35:25,00:35:27,33,38
Running,05/11/2024 06:14,Tangerang Running,7.16,485,00:46:25,130,143,3,177,184,06:29,04:59,7,79,0.87,9,7.8,257,06:29,234,0,233,325,"8,196",No,01:05.8,8,00:46:23,00:46:25,34,40
